Team,GF,GA,wGF,wGA,wLeague,HomeAdv
Benfica,2.103448276,0.620689655,1.546810564,0.456435904,78.8,0.1
Bodo/Glimt,2.75862069,0.965517241,1.746724891,0.611353712,75.1,0.1
Club Brugge,1.896551724,1.206896552,1.470588235,0.935828877,80,0.1
Galatasaray,2.310344828,0.75862069,1.761411722,0.578373998,75.8,0.1
Slavia Prague,2.142857143,0.714285714,1.648351648,0.549450549,74.6,0.1
Royale Union SG,1.620689655,0.551724138,1.256684492,0.427807487,80,0.1
Sporting CP,2.607142857,0.607142857,1.917211923,0.446474009,78.8,0.1
Qarabag,2.115384615,0.692307692,1.625380269,0.531942634,70.4,0.1
Paphos,2.038461538,0.923076923,#REF!,#REF!,74.8,0.1
Kairat Almaty,2.038461538,0.923076923,#REF!,#REF!,70.4,0.1
PSV Eindhoven,2.8,1.333333333,1.764705882,0.840336134,77.4,0.1
Atlanta United,1.3,1.5,0.955,1.101,72,0.1
Austin FC,1.3,1.3,0.955,0.955,72,0.1
CF Montréal,1.2,1.4,0.881,1.028,72,0.1
Charlotte FC,1.1,1.4,0.808,1.028,72,0.1
Chicago Fire,0.9,1.7,0.661,1.248,72,0.1
Colorado Rapids,1.0,1.4,0.734,1.028,72,0.1
Columbus Crew,1.5,1.1,1.101,0.808,72,0.1
D.C. United,1.0,1.6,0.734,1.175,72,0.1
FC Cincinnati,1.6,1.0,1.175,0.734,72,0.1
FC Dallas,1.1,1.5,0.808,1.101,72,0.1
Houston Dynamo,1.2,1.3,0.881,0.955,72,0.1
Inter Miami,1.7,1.3,1.248,0.955,72,0.1
LA Galaxy,1.7,1.1,1.248,0.808,72,0.1
Los Angeles FC,1.8,1.1,1.322,0.808,72,0.1
Minnesota United,1.3,1.4,0.955,1.028,72,0.1
Nashville SC,1.3,1.2,0.955,0.881,72,0.1
New England Revolution,1.2,1.3,0.881,0.955,72,0.1
New York City FC,1.4,1.2,1.028,0.881,72,0.1
New York Red Bulls,1.2,1.2,0.881,0.881,72,0.1
Orlando City SC,1.2,1.4,0.881,1.028,72,0.1
Philadelphia Union,1.3,1.1,0.955,0.808,72,0.1
Portland Timbers,1.4,1.4,1.028,1.028,72,0.1
Real Salt Lake,1.3,1.3,0.955,0.955,72,0.1
San Diego FC,1.1,1.4,0.808,1.028,72,0.1
San Jose Earthquakes,1.0,1.5,0.734,1.101,72,0.1
Seattle Sounders,1.5,1.2,1.101,0.881,72,0.1
Sporting KC,1.1,1.4,0.808,1.028,72,0.1
St. Louis City SC,1.2,1.4,0.881,1.028,72,0.1
Toronto FC,0.9,1.8,0.661,1.322,72,0.1
Vancouver Whitecaps,1.2,1.3,0.881,0.955,72,0.1
Algeria,1.251,2.249,0.962,1.73,71,0
Argentina,2.375,1.0,1.827,0.769,94,0
Australia,1.249,1.749,0.961,1.345,73,0
Austria,1.501,2.249,1.155,1.73,77,0
Belgium,2.334,1.166,1.795,0.897,86,0
Bosnia & Herzegovina,1.2,1.1,0.923,0.846,71,0
Brazil,2.001,0.799,1.539,0.615,91,0
Canada,1.801,1.199,1.385,0.922,77,0.05
Cape Verde,1.1,1.2,0.846,0.923,68,0
Colombia,1.599,0.999,1.23,0.768,81,0
Croatia,1.501,1.749,1.155,1.345,83,0
Curaçao,0.334,2.999,0.257,2.307,65,0
Czechia,0.668,1.999,0.514,1.538,74,0
DR Congo,1.249,1.249,0.961,0.961,68,0
Ecuador,0.501,0.999,0.385,0.768,73,0
Egypt,2.399,1.799,1.845,1.384,73,0
England,2.5,1.5,1.923,1.154,90,0
France,2.5,1.25,1.923,0.962,93,0
Germany,3.499,2.249,2.692,1.73,87,0
Ghana,0.501,0.749,0.385,0.576,70,0
Haiti,0.668,2.665,0.514,2.05,65,0
Iran,1.001,0.999,0.77,0.768,73,0
Iraq,0.334,3.999,0.257,3.076,68,0
Ivory Coast,1.251,0.999,0.962,0.768,73,0
Japan,2.001,1.249,1.539,0.961,79,0
Jordan,1.0,2.665,0.769,2.05,66,0
Mexico,1.999,0.599,1.538,0.461,78,0.05
Morocco,2.167,1.333,1.667,1.025,81,0
Netherlands,3.249,1.999,2.499,1.538,87,0
New Zealand,1.332,3.332,1.025,2.563,66,0
Norway,2.167,1.833,1.667,1.41,80,0
Panama,0.001,1.332,0.001,1.025,68,0
Paraguay,1.401,1.801,1.078,1.385,70,0
Portugal,1.601,0.599,1.232,0.461,89,0
Qatar,0.668,3.332,0.514,2.563,70,0
Saudi Arabia,0.334,1.665,0.257,1.281,71,0
Scotland,0.334,1.332,0.257,1.025,73,0
