Team,R,RA,wR,wRA
Lamar,5.8408,4.628,0.920082505,0.700968968
Le Moyne,5.9368,11.78991,0.935205077,1.785730564
Lehigh,4.36205,8.54925,0.687139757,1.294891736
Liberty,8.02087,4.0165,1.263501945,0.608349581
Lindenwood,4.96206,5.17191,0.781657409,0.783350998
Lipscomb,5.40145,7.02075,0.850873107,1.063381133
Little Rock,6.2988,4.76928,0.992229777,0.722367606
Long Beach State,4.50225,6.06125,0.709225013,0.918052757
Long Island,6.54544,8.44332,1.031082186,1.278847301
Longwood,5.8398,5.7582,0.919924978,0.872152012
Louisiana,7.0882,4.2405,1.116581429,0.642277206
Louisiana Tech,6.38439,4.42468,1.005712495,0.67017359
Louisville,9.67156,5.6588,1.52352985,0.857096629
Loyola-Marymount,5.07654,8.62592,0.799691076,1.306504374
LSU,9.18004,4.49562,1.44610228,0.680918348
Maine,6.01328,5.4828,0.947252726,0.830439209
Manhattan,4.99485,9.38125,0.786822713,1.420908629
Marist,5.29641,7.86456,0.834326493,1.1911868
Marshall,6.31386,6.23636,0.994602131,0.944575375
Maryland,9.30596,6.33204,1.465938054,0.959067318
Maryland Eastern Shore,4.29867,13.01998,0.677155708,1.972040179
McNeese,6.14453,5.18392,0.967928118,0.785170064
Memphis,7.21494,5.84668,1.136546375,0.885553424
Mercer,9.2034,5.64448,1.449782106,0.854927684
Mercyhurst,4.20558,9.90478,0.662491539,1.50020385
Merrimack,5.73999,8.0269,0.904202229,1.21577524
Miami (FL),9.66025,4.779,1.521748222,0.723839823
Miami (OH),9.57216,5.98976,1.507871687,0.907224695
Michigan,6.34239,4.18353,0.99909637,0.633648381
Michigan State,6.9845,4.6492,1.1002459,0.704179976
Middle Tennessee,5.68512,6.47714,0.895558733,0.981044543
Milwaukee,5.22265,8.9973,0.822707316,1.362754559
Minnesota,8.18818,4.17408,1.289857753,0.632217059
Mississippi State,10.6744,3.24,1.681504022,0.490738863
Mississippi Valley State,3.56965,11.92455,0.562315524,1.80612349
Missouri,7.2571,4.7275,1.143187705,0.716039498
Missouri State,9.34335,5.06675,1.471827981,0.767423189
Monmouth,5.93276,7.57206,0.934568669,1.146883986
Morehead State,6.90612,8.29683,1.08789895,1.256659543
Mount Saint Mary's,5.33088,8.46746,0.839756441,1.282503608
Murray State,5.21202,7.31712,0.821032807,1.108270107
Navy,4.11369,5.69311,0.648016402,0.862293311
Nebraska,8.57364,4.10432,1.350578032,0.621651028
Nevada,7.09148,7.4736,1.117098117,1.131970977
New Haven,3.87882,12.38994,0.611018083,1.876612675
New Mexico,6.13305,8.4101,0.966119711,1.273815713
New Mexico State,6.96524,8.36004,1.097211934,1.266233495
New Orleans,5.75694,7.03248,0.906872308,1.06515779
Niagara,4.47869,7.74774,0.705513682,1.173492937
Nicholls,5.9508,5.9862,0.937410452,0.906685488
NJIT,4.23192,7.77018,0.666640795,1.176891758
Norfolk State,4.5536,11.60425,0.717314014,1.757610015
North Alabama,6.29349,6.43167,0.99139331,0.974157538
North Carolina,10.08924,3.00079,1.589325642,0.454507491
North Carolina A&T,4.86668,8.67477,0.766632503,1.313903323
North Carolina State,9.48658,4.81182,1.494390544,0.728810826
North Dakota State,3.91476,8.50742,0.616679596,1.288556054
North Florida,5.07326,5.39733,0.799174389,0.8174937
Northeastern,6.81966,5.39352,1.074279184,0.816916627
Northern Colorado,4.21059,10.03212,0.663280748,1.519491099
Northern Illinois,6.61116,6.65344,1.041434847,1.007747401
Northern Kentucky,5.59636,10.8558,0.881576655,1.644247823
Northwestern,6.2466,6.42,0.984006878,0.972389969
Northwestern State,4.90204,5.05053,0.772202651,0.764966466
Notre Dame,8.49487,5.40351,1.338169646,0.818429738
Oakland,4.30976,10.71074,0.67890268,1.622276657
Ohio,4.48656,10.27392,0.706753418,1.556114759
Ohio State,7.3814,5.085,1.162768285,0.770187382
Oklahoma,8.40489,4.07493,1.323995385,0.617199541
Oklahoma State,9.7614,5.0999,1.537682058,0.772444175
Old Dominion,6.75136,6.05889,1.063520103,0.917695305
Ole Miss,8.29464,3.42336,1.306628056,0.518511047
Omaha,4.4934,8.40711,0.707830901,1.27336284
Oral Roberts,4.76532,5.64382,0.750665587,0.854827719
Oregon,8.45208,3.34004,1.331429074,0.505891183
Oregon State,7.4448,2.9785,1.172755484,0.45113139
Pacific,4.73947,7.45602,0.74659352,1.129308264
Penn,5.66055,6.0001,0.8916883,0.908790818
Penn State,6.10115,6.42486,0.961094606,0.973126077
Pepperdine,4.32078,6.35968,0.680638626,0.963253744
Pittsburgh,10.03706,5.05494,1.581105894,0.765634416
Portland,5.37473,4.41072,0.846663991,0.668059172
Prairie View A&M,4.176,11.8874,0.657831896,1.800496654
Presbyterian College,4.79823,7.84406,0.755849794,1.188081816
Princeton,4.05984,7.71912,0.639533584,1.169158077
Purdue,8.23688,5.0952,1.297529308,0.771732301
Queens,3.72294,7.43584,0.586462807,1.126251749
Quinnipiac,4.75953,7.54621,0.749753507,1.142968677
Radford,6.2944,6.36165,0.991536659,0.963552126
Rhode Island,7.13016,7.16452,1.123191253,1.085156913
Rice,5.96456,4.51308,0.939578021,0.683562885
Richmond,6.29476,6.0438,0.991593369,0.915409734
Rider,5.87252,6.84577,0.925079255,1.036878205
Rutgers,6.59044,5.1156,1.038170892,0.774822138
Sacramento State,7.02336,4.76292,1.106367392,0.721404304
Sacred Heart,5.0141,8.9754,0.789855103,1.359437528
Saint Bonaventure,5.03034,8.6432,0.792413338,1.309121648
Saint John's,6.30528,5.40246,0.993250551,0.818270703
Saint Joseph's,7.4061,6.98285,1.166659197,1.0576407
Saint Louis,4.07913,7.24268,0.642572276,1.096995231
Saint Mary's College,6.8976,5.9475,1.086556822,0.900823885
Saint Peter's,3.6113,12.3188,0.568876515,1.865837625
Saint Thomas,4.334,9.618,0.68272113,1.456767402
Sam Houston State,5.89164,5.9618,0.928091167,0.9029898
Samford,6.91982,4.9014,1.090057067,0.742378846
San Diego,6.05554,7.26788,0.953909809,1.100812088
San Diego State,6.19385,5.68458,0.97569734,0.861001335
San Francisco,4.12776,6.97984,0.650232804,1.057184798
San Jose State,5.81049,7.17597,0.915307868,1.08689116
Santa Clara,4.99044,4.96383,0.786128019,0.751834657
Seattle University,4.48698,7.68836,0.706819579,1.164499087
Seton Hall,3.77388,7.41957,0.594487222,1.123787452
Siena,4.3732,9.7857,0.68889618,1.482167682
SIUE,6.53626,6.17564,1.02963609,0.935378565
South Alabama,7.09995,4.28757,1.118432369,0.649406551
