Team,AdjO,AdjD,AdjT,Orank,Drank,Trank,HomeAdv
Eastern Kentucky,109.2,120.9,67.3,0.99884658,1.105965907,0.999192397,2.64
Eastern Michigan,101.9,108.5,66.6,0.932073869,0.992533506,0.988799608,4.52
Eastern Washington,113.1,113.3,67.7,1.034519672,1.036442823,1.005131133,3.94
Elon,110.1,116,66.8,1.007078832,1.061141813,0.991768977,2.1
Evansville,101.8,115,67,0.931159174,1.051994039,0.994738345,5.09
Fairfield,106,113.9,67,0.969576351,1.041931487,0.994738345,2.23
Fairleigh Dickinson,100.9,118.5,63.9,0.922926922,1.084011249,0.948713138,0.32
FIU,107.6,109.6,71.6,0.984211465,1.002596058,1.063033813,2.1
Florida,126,92.4,70.3,1.152515285,0.845254341,1.04373292,3.8
Florida A&M,98.1,111,68.3,0.897315472,1.015402942,1.014039238,2.1
Florida Atlantic,110,106.4,69.6,1.006164137,0.97332318,1.033340131,3.22
Florida Gulf Coast,105.7,112.3,67.6,0.966832267,1.027295048,1.003646449,4.07
Florida St.,118.2,105.1,70.5,1.0811691,0.961431074,1.046702288,3.85
Fordham,104.9,104.2,64.4,0.959514709,0.953198077,0.956136558,3.09
Fresno St.,107.7,104.4,68.2,0.98512616,0.955027632,1.012554554,4.49
Furman,108.1,109.6,66,0.988784939,1.002596058,0.979891504,3.75
Gardner Webb,95.7,122,69.2,0.8753628,1.116028459,1.027401395,3.08
George Mason,113.1,106,63.5,1.034519672,0.969664071,0.942774401,3.12
George Washington,117.4,108,69,1.073851543,0.987959619,1.024432027,5.04
Georgetown,114.9,103.6,66.2,1.050984176,0.947709412,0.982860872,2.92
Georgia,124.1,104.8,71.7,1.135136086,0.958686742,1.064518497,4.29
Georgia Southern,110.3,116.3,70.1,1.008908221,1.063886145,1.040763552,3.64
Georgia St.,99.4,112.4,67.9,0.909206502,1.028209826,1.008100502,3.81
Georgia Tech,107.5,107.3,70.7,0.983296771,0.981556177,1.049671656,3.42
Gonzaga,121.1,94.1,68.4,1.107695246,0.860805557,1.015523922,5.17
Grambling St.,97,108.6,67.6,0.88725383,0.993448284,1.003646449,2.1
Grand Canyon,111.3,97.7,68,1.018055168,0.893737544,1.009585186,2.1
Green Bay,112.7,116.2,62.9,1.030860894,1.062971368,0.933866297,2.1
Hampton,102.4,111.8,65.4,0.936647342,1.022721161,0.970983399,1.47
Harvard,106.6,105.5,63,0.975064519,0.965090183,0.935350981,2.11
Hawaii,107.2,101.6,69.8,0.980552687,0.929413864,1.0363095,4.92
High Point,117.5,107.9,70.1,1.074766238,0.987044842,1.040763552,4.6
Hofstra,114.4,105.3,64.7,1.046410703,0.963260629,0.960590611,3.32
Holy Cross,100.9,117.4,65.6,0.922926922,1.073948697,0.973952767,3.25
Houston,124.7,90.7,63.2,1.140624254,0.829703125,0.938320349,5.41
Houston Christian,103,114.1,64.4,0.942135511,1.043761042,0.956136558,2.1
Howard,104.9,107.5,69.1,0.959514709,0.983385732,1.025916711,4.13
Idaho,108.4,107.4,67.8,0.991529023,0.982470955,1.006615818,3.26
Idaho St.,109.4,116.8,65.5,1.000675969,1.068460033,0.972468083,2.1
Illinois,131.7,97.4,65.3,1.204652881,0.890993212,0.969498715,2.64
Illinois Chicago,110.4,105,66.5,1.009822916,0.960516296,0.987314924,4.13
Illinois St.,110.4,103,66.6,1.009822916,0.942220748,0.988799608,5.28
Incarnate Word,108.9,117.4,65.5,0.996102496,1.073948697,0.972468083,2.1
