Name,k_percent,bb_percent,xba,xslg,xobp,single%,double%,triple%,home_run%,xOPS,wRops,wLops
A.J. Ewing,25.157232704402517,9.224318658280922,0.256,0.394,0.328,0.16561844863731656,0.039832285115303984,0.0020964360587002098,0.020964360587002098,0.722,0.97,1.07
Aaron Judge,25.12562814070352,17.185929648241206,0.28617427385892114,0.665496887966805,0.43278391959798995,0.13366834170854272,0.04221105527638191,0.0020100502512562816,0.07236180904522613,1.098280807564795,0.97,1.07
Aaron Schunk,30.303030303030305,0.0,0.224,0.306,0.188,0.15151515151515152,0.030303030303030304,0.0,0.0,0.494,0.97,1.07
Abimelec Ortiz,25.954198473282442,5.343511450381679,0.217,0.393,0.237,0.10687022900763359,0.03816793893129771,0.0,0.03816793893129771,0.63,0.97,1.07
Abraham Toro,14.788732394366198,4.929577464788732,0.253,0.376,0.289,0.14788732394366197,0.045774647887323945,0.0,0.02464788732394366,0.665,0.97,1.07
Adael Amador,17.70334928229665,9.090909090909092,0.21024880382775119,0.299,0.2974688995215311,0.11483253588516747,0.05263157894736842,0.0,0.023923444976076555,0.596468899521531,0.97,1.07
Adam Frazier,19.801980198019802,6.105610561056106,0.2389059405940594,0.32353960396039605,0.31802970297029703,0.17326732673267325,0.04785478547854786,0.0016501650165016502,0.013201320132013201,0.6415693069306931,0.97,1.07
Addison Barger,23.333333333333332,7.719298245614035,0.2484490566037736,0.4473660377358491,0.318,0.1280701754385965,0.06315789473684211,0.0017543859649122807,0.042105263157894736,0.7653660377358491,0.97,1.07
Adley Rutschman,15.968586387434556,10.209424083769633,0.24831151832460735,0.411044502617801,0.31013350785340316,0.11780104712041885,0.0549738219895288,0.003926701570680628,0.0274869109947644,0.7211780104712042,0.97,1.07
Adolis García,27.1712158808933,6.079404466501241,0.2281439205955335,0.40611290322580645,0.2706786600496278,0.12034739454094293,0.04466501240694789,0.0012406947890818859,0.03225806451612903,0.6767915632754342,0.97,1.07
Adrian Del Castillo,31.288343558282207,6.441717791411043,0.20121472392638037,0.3380368098159509,0.26547546012269935,0.13190184049079753,0.03680981595092025,0.0,0.027607361963190184,0.6035122699386503,0.97,1.07
Agustín Ramírez,20.75242718446602,7.402912621359223,0.2488483009708738,0.4163932038834952,0.2971516990291262,0.125,0.05218446601941747,0.0024271844660194173,0.03155339805825243,0.7135449029126214,0.97,1.07
Alan Roden,20.081967213114755,7.786885245901639,0.21851639344262294,0.3031639344262295,0.3005327868852459,0.13934426229508196,0.040983606557377046,0.004098360655737705,0.012295081967213115,0.6036967213114754,0.97,1.07
Alan Trejo,16.27906976744186,2.3255813953488373,0.20599999999999996,0.351,0.19,0.11627906976744186,0.046511627906976744,0.0,0.0,0.5409999999999999,0.97,1.07
Alec Bohm,14.977973568281937,7.048458149779735,0.2706096687555954,0.4151951656222023,0.3276581497797357,0.17709251101321585,0.04140969162995595,0.003524229074889868,0.02290748898678414,0.742853315401938,0.97,1.07
Alec Burleson,16.334991708126037,7.794361525704808,0.2802089552238806,0.4923432835820896,0.34354726368159205,0.16832504145936983,0.05223880597014925,0.0024875621890547263,0.03399668325041459,0.8358905472636817,0.97,1.07
Alejandro Kirk,12.318029115341545,9.854423292273236,0.2727456790123457,0.4387160493827161,0.34936170212765955,0.18365061590145576,0.030235162374020158,0.0,0.0335946248600224,0.7880777515103756,0.97,1.07
Alejandro Osuna,16.915422885572138,9.950248756218905,0.260318407960199,0.3439004975124378,0.3321144278606965,0.17661691542288557,0.022388059701492536,0.0,0.007462686567164179,0.6760149253731342,0.97,1.07
Alek Thomas,25.29711375212224,4.244482173174872,0.23996264855687605,0.37240747028862475,0.2763684210526316,0.1460101867572156,0.04923599320882852,0.0050933786078098476,0.01867572156196944,0.6487758913412563,0.97,1.07
Alex Bregman,14.404662781015821,10.74104912572856,0.2516666666666667,0.4013333333333333,0.3562298084929226,0.14238134887593673,0.0507910074937552,0.0016652789342214821,0.03663613655287261,0.7575631418262558,0.97,1.07
Alex Call,17.391304347826086,11.720226843100189,0.2273112840466926,0.32678988326848246,0.3617410207939508,0.15879017013232513,0.03969754253308128,0.003780718336483932,0.011342155009451797,0.6885309040624332,0.97,1.07
Alex Freeland,29.781420765027324,11.748633879781421,0.20701366120218578,0.3291338797814208,0.317724043715847,0.14207650273224043,0.030054644808743168,0.00273224043715847,0.01639344262295082,0.6468579234972678,0.97,1.07
Alex Jackson,35.26011560693642,4.046242774566474,0.18179768786127168,0.31811560693641616,0.3119421965317919,0.1329479768786127,0.06936416184971098,0.0,0.03468208092485549,0.630057803468208,0.97,1.07
Alex Verdugo,14.553990610328638,6.572769953051644,0.266,0.369,0.296,0.17370892018779344,0.046948356807511735,0.0,0.0,0.665,0.97,1.07
Alexander Canario,34.18803418803419,7.264957264957266,0.219,0.407,0.274,0.1452991452991453,0.02564102564102564,0.004273504273504274,0.02564102564102564,0.681,0.97,1.07
Ali Sánchez,28.40909090909091,1.1363636363636365,0.2346126126126126,0.32319819819819817,0.264,0.19318181818181818,0.022727272727272728,0.0,0.011363636363636364,0.5871981981981982,0.97,1.07
Alika Williams,21.645021645021647,4.329004329004329,0.217,0.299,0.307,0.14285714285714285,0.08658008658008658,0.004329004329004329,0.017316017316017316,0.606,0.97,1.07
Amed Rosario,20.137299771167047,4.805491990846682,0.2647868852459016,0.43070960187353635,0.2901784897025172,0.15789473684210525,0.041189931350114416,0.002288329519450801,0.036613272311212815,0.7208880915760536,0.97,1.07
Andrés Chaparro,25.170068027210885,10.204081632653061,0.21633673469387757,0.4049625850340136,0.329687074829932,0.11564625850340136,0.05102040816326531,0.0,0.04081632653061224,0.7346496598639456,0.97,1.07
Andrés Giménez,18.53813559322034,4.766949152542373,0.2433693901035673,0.3448895281933257,0.28758898305084746,0.1461864406779661,0.04025423728813559,0.00211864406779661,0.019067796610169493,0.6324785112441731,0.97,1.07
Andrew Benintendi,20.41036717062635,8.207343412526997,0.23641684665226784,0.41321166306695467,0.30404535637149027,0.132829373650108,0.04319654427645788,0.004319654427645789,0.0367170626349892,0.7172570194384449,0.97,1.07
Andrew Knizner,14.110429447852761,6.748466257668712,0.22646012269938653,0.3292453987730061,0.302680981595092,0.147239263803681,0.03067484662576687,0.006134969325153374,0.018404907975460124,0.6319263803680981,0.97,1.07
Andrew McCutchen,22.082018927444796,11.987381703470032,0.24569400630914828,0.39536277602523656,0.3256687697160884,0.14195583596214512,0.03785488958990536,0.0,0.022082018927444796,0.721031545741325,0.97,1.07
Andrew Vaughn,16.707920792079207,8.663366336633663,0.2691709511568124,0.43688046272493575,0.33982054455445543,0.16212871287128713,0.04950495049504951,0.0024752475247524753,0.027227722772277228,0.7767010072793912,0.97,1.07
Andruw Monasterio,20.97457627118644,6.991525423728813,0.23042038216560515,0.3601464968152866,0.30620338983050843,0.13347457627118645,0.06779661016949153,0.00211864406779661,0.0211864406779661,0.6663498866457951,0.97,1.07
Andy Ibáñez,13.402061855670103,6.185567010309279,0.2418904109589041,0.3512922374429223,0.304,0.15979381443298968,0.041237113402061855,0.0,0.020618556701030927,0.6552922374429223,0.97,1.07
Andy Pages,20.53354890864996,6.063055780113178,0.2655532994923858,0.43319289340101524,0.31729911075181894,0.15683104284559418,0.043654001616814875,0.002425222312045271,0.038803556992724336,0.7504920041528342,0.97,1.07
Angel Genao,15.671641791044776,7.462686567164178,0.23899999999999996,0.335,0.276,0.14925373134328357,0.029850746268656716,0.0,0.014925373134328358,0.611,0.97,1.07
Angel Martínez,22.71186440677966,3.9548022598870056,0.23395238095238097,0.35767346938775507,0.28034350282485876,0.1344632768361582,0.0519774011299435,0.004519774011299435,0.031638418079096044,0.6380169722126139,0.97,1.07
Anthony Santander,27.848101265822784,10.9704641350211,0.188,0.301,0.27,0.10970464135021098,0.02109704641350211,0.0,0.02531645569620253,0.571,0.97,1.07
Anthony Seigler,17.88617886178862,10.56910569105691,0.2398130081300813,0.3608008130081301,0.3166138211382114,0.13008130081300814,0.05284552845528455,0.0040650406504065045,0.012195121951219511,0.6774146341463415,0.97,1.07
Anthony Volpe,25.46728971962617,7.827102803738318,0.22581927710843375,0.3847012048192771,0.28248831775700933,0.11565420560747663,0.0514018691588785,0.005841121495327103,0.02570093457943925,0.6671895225762865,0.97,1.07
Austin Barnes,31.818181818181817,2.272727272727273,0.22699999999999998,0.303,0.233,0.13636363636363635,0.06818181818181818,0.0,0.0,0.536,0.97,1.07
Austin Hays,25.719769673704416,6.333973128598848,0.24345419103313842,0.40129824561403515,0.3093454894433781,0.16314779270633398,0.036468330134357005,0.009596928982725527,0.0345489443378119,0.7106437350574133,0.97,1.07
Austin Hedges,20.754716981132077,10.377358490566039,0.20447743467933494,0.29831116389548695,0.2956509433962264,0.12735849056603774,0.030660377358490566,0.0,0.02358490566037736,0.5939621072917134,0.97,1.07
