Team,SOS,oRating,dRating,Yds/Play,Last 3,wYds/Play,D Yds/Play,Last 3,wD Yds/Play,Yds/Point,Last 3,wYds/Point,D Yds/Point,Last 3,wD Yds/Point,PlaysGame,dPlaysGame,HomeAdv
Houston,1.2,1.759,0.606,7.6,7.6,7.581,5.2,5.2,5.157,11.8,11.8,11.762,16.7,16.7,16.713,70.3,58.3,1.8
Illinois,0.9,1.681,0.819,7.4,7.4,7.388,5.2,5.2,5.183,10.6,10.6,10.608,16.6,16.6,16.602,56.0,68.3,1.7
Indiana,0.9,1.388,0.371,7.7,7.6,7.643,3.9,3.3,3.672,10.7,10.6,10.674,23.0,19.8,21.842,60.8,58.0,2.6
Iowa,0.9,1.445,0.167,7.1,7.1,7.105,3.2,3.2,3.222,12.9,12.9,12.865,41.1,41.1,41.141,67.0,55.3,2.7
Iowa St,0.8,1.376,0.437,6.3,6.3,6.349,3.8,3.8,3.837,9.9,9.9,9.882,20.7,20.7,20.695,55.0,59.3,3.0
J Madison,1.0,1.807,0.35,7.0,7.0,7.019,4.4,4.4,4.397,9.8,9.8,9.764,31.7,31.7,31.689,61.7,69.7,3.1
Jacksonville St,0.9,1.023,0.914,6.0,7.0,6.373,4.9,4.7,4.839,12.5,14.5,13.192,13.4,12.8,13.208,59.0,65.5,2.5
Kansas,1.4,1.235,0.685,5.8,5.8,5.822,4.3,4.3,4.272,14.2,14.2,14.196,11.9,11.9,11.935,72.3,63.3,2.4
Kansas St,0.7,1.806,0.428,7.0,7.0,7.013,3.3,3.3,3.277,10.8,10.8,10.829,18.2,18.2,18.241,70.0,55.7,3.5
Kennesaw St,1.6,1.053,0.684,5.6,5.6,5.582,5.6,5.6,5.565,15.4,15.4,15.371,14.3,14.3,14.331,67.0,62.7,2.5
Kent St,1.7,0.639,1.196,4.1,4.1,4.129,6.7,6.7,6.736,18.5,18.5,18.529,9.8,9.8,9.821,58.3,63.7,1.5
Kentucky,1.6,1.337,0.741,6.4,6.4,6.372,5.0,5.0,5.034,12.3,12.3,12.265,13.6,13.6,13.572,59.7,71.0,2.4
Liberty,1.1,1.169,0.658,6.4,6.9,6.561,4.8,4.5,4.697,13.5,14.5,13.875,15.6,14.4,15.154,64.5,60.5,3.0
Louisiana,1.2,1.15,0.781,6.1,6.1,6.148,4.7,4.7,4.659,13.3,13.3,13.332,12.6,12.6,12.58,64.3,63.0,2.3
Louisiana Tech,1.3,1.744,0.915,5.4,5.4,5.379,4.8,4.8,4.825,9.1,9.1,9.139,11.9,11.9,11.867,64.0,71.3,2.7
Louisville,1.4,1.78,0.867,8.0,8.0,7.962,5.4,5.4,5.442,11.2,11.2,11.192,14.1,14.1,14.084,64.7,73.3,3.3
LSU,1.2,1.531,0.627,5.9,5.9,5.926,3.8,3.8,3.801,12.3,12.3,12.296,11.9,11.9,11.945,83.0,58.7,3.6
Marshall,1.2,0.82,1.063,4.8,4.8,4.78,6.5,6.5,6.55,15.3,15.3,15.328,14.2,14.2,14.203,62.0,68.7,2.0
Maryland,1.6,1.805,0.451,7.0,7.0,6.994,4.0,4.0,3.974,12.2,12.2,12.211,14.4,14.4,14.355,73.3,59.0,2.1
Memphis,0.9,1.253,0.974,8.2,8.2,8.209,6.5,6.2,6.398,15.3,15.3,15.316,16.9,16.1,16.609,62.5,67.5,2.4
Miami,0.9,1.741,0.426,8.5,8.5,8.493,4.1,4.1,4.088,11.4,11.4,11.397,21.6,21.6,21.554,69.3,58.0,1.8
Miami OH,1.4,1.416,1.027,6.8,6.8,6.799,6.2,6.2,6.198,12.7,12.7,12.691,12.0,12.0,11.967,56.0,65.0,2.7
Michigan,0.9,1.143,0.489,5.5,5.5,5.481,3.7,3.7,3.717,11.8,11.8,11.763,16.8,16.8,16.775,58.7,58.7,2.5
Michigan St,1.2,0.985,0.591,5.0,5.0,5.047,5.6,5.6,5.589,13.4,13.4,13.392,16.6,16.6,16.559,66.3,53.3,1.1
Middle Tenn,0.8,1.137,0.832,6.1,6.1,6.092,5.2,5.2,5.153,12.3,12.3,12.318,14.0,14.0,14.045,61.3,56.3,2.4
Minnesota,1.3,1.443,0.557,5.9,5.9,5.926,4.4,4.4,4.429,10.4,10.4,10.384,14.6,14.6,14.563,66.0,57.0,2.8
Mississippi,1.3,1.375,0.74,6.4,6.4,6.444,5.6,5.6,5.63,11.8,11.8,11.815,15.8,15.8,15.78,69.7,66.3,2.3
Mississippi St,1.3,1.784,0.639,7.7,7.7,7.711,4.7,4.7,4.726,11.4,11.4,11.375,16.5,16.5,16.542,69.3,70.0,2.5
Missouri,1.0,1.602,0.634,6.2,6.2,6.235,4.0,4.0,4.009,10.3,10.3,10.269,14.8,14.8,14.804,65.3,64.0,2.9
Missouri St,1.1,0.928,1.102,5.6,5.6,5.649,5.5,5.5,5.535,14.4,14.4,14.358,12.4,12.4,12.366,61.0,70.0,2.5
N Illinois,1.2,0.716,1.192,4.0,4.0,3.979,5.8,5.8,5.807,18.2,18.2,18.247,10.8,10.8,10.823,62.7,68.3,0.8
N Texas,1.1,1.194,1.267,6.2,6.2,6.2,6.9,6.9,6.879,14.4,14.4,14.422,12.2,12.2,12.15,73.7,63.0,2.4
Navy,0.9,1.059,1.012,6.1,6.1,6.101,5.7,5.7,5.746,13.9,13.9,13.86,12.7,12.7,12.685,69.7,56.7,2.6
NC State,1.3,1.605,0.722,6.5,6.5,6.526,5.1,5.1,5.123,11.6,11.6,11.595,13.0,13.0,12.994,66.3,58.3,2.6
Nebraska,0.7,1.349,0.505,7.4,7.4,7.428,4.0,4.0,3.97,11.3,11.3,11.276,19.1,19.1,19.055,70.3,56.0,1.6
