TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612740,New Orleans Pelicans,25,5,20,0.2,1200,977,2232,0.438,271,828,0.327,399,527,0.757,316,760,1076,595,375,235,136,146,446,440,2624,-293,3,28,30,29,9,18,7,28,27,25,27,22,17,26,4,21,14,21,19,4,8,24,11,24,21,29
1610612752,New York Knicks,25,15,10,0.6,1200,1084,2178,0.498,358,911,0.393,400,495,0.808,228,829,1057,701,321,182,114,112,431,463,2926,154,3,8,8,9,9,6,15,2,6,14,2,20,24,1,20,12,16,6,8,22,22,9,9,16,6,7
1610612760,Oklahoma City Thunder,24,19,5,0.792,1152,1037,2230,0.465,336,960,0.35,369,458,0.806,256,794,1050,624,283,292,153,121,503,432,2779,288,14,2,2,2,20,11,8,12,11,5,19,28,29,3,15,17,18,16,2,1,4,14,24,26,12,1
1610612753,Orlando Magic,27,17,10,0.63,1296,1042,2306,0.452,313,1014,0.309,510,650,0.785,296,845,1141,644,405,260,182,111,543,591,2907,108,1,4,8,7,1,10,2,23,18,4,30,1,1,13,9,8,6,12,23,3,1,8,29,1,8,9
1610612755,Philadelphia 76ers,22,7,15,0.318,1071,833,1892,0.44,254,792,0.321,394,510,0.773,234,647,881,479,320,205,89,127,454,434,2314,-108,27,25,21,25,27,30,30,25,29,28,28,23,22,21,19,30,30,30,6,12,29,16,12,25,30,24
1610612756,Phoenix Suns,23,12,11,0.522,1114,917,1960,0.468,343,907,0.378,422,534,0.79,214,781,995,617,329,176,112,101,423,456,2599,-20,23,14,12,16,23,25,27,11,10,15,8,11,13,10,26,18,22,18,9,26,24,4,6,19,23,16
1610612757,Portland Trail Blazers,24,8,16,0.333,1152,935,2149,0.435,282,848,0.333,402,524,0.767,311,720,1031,530,405,202,144,161,472,474,2554,-230,14,24,25,24,20,22,18,29,24,22,25,18,18,24,6,27,19,29,23,14,5,30,15,10,25,28
1610612758,Sacramento Kings,25,12,13,0.48,1215,1079,2220,0.486,302,873,0.346,450,566,0.795,247,832,1079,646,340,204,122,102,506,485,2910,80,3,14,19,19,3,7,10,7,21,18,21,5,7,7,17,9,12,11,13,13,15,5,25,6,7,11
1610612759,San Antonio Spurs,24,12,12,0.5,1152,951,2096,0.454,331,959,0.345,440,554,0.794,269,806,1075,670,355,185,155,112,397,461,2673,-41,14,14,17,18,20,21,20,21,14,6,22,8,11,8,14,15,15,10,15,21,3,9,3,18,18,17
1610612761,Toronto Raptors,25,7,18,0.28,1215,1055,2276,0.464,281,824,0.341,417,560,0.745,334,823,1157,714,409,193,119,155,556,479,2808,-122,3,25,27,27,3,9,4,15,25,26,23,13,8,28,3,13,4,4,25,18,17,27,30,8,11,25
1610612762,Utah Jazz,23,5,18,0.217,1104,892,1965,0.454,296,854,0.347,431,542,0.795,276,751,1027,561,423,158,115,153,427,470,2511,-219,23,28,27,28,26,27,26,20,22,21,20,9,12,5,13,23,20,25,29,29,21,25,7,13,27,27
1610612764,Washington Wizards,22,3,19,0.136,1056,876,1993,0.44,246,789,0.312,370,475,0.779,228,716,944,536,355,177,124,134,481,420,2368,-356,27,30,29,30,30,28,24,26,30,29,29,27,28,18,20,28,28,28,15,24,14,22,18,28,29,30
